,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
trust,0.00017280110592707794,0.0007331378299120235,0.0002494854362876567,0.00012772404559308,1.041938004688721e-05,0.0
preceding,0.00017280110592707794,1.3832789243623083e-05,0.0,6.606416151366207e-05,0.00013545194060953373,0.00033818058843422386
navigators,8.640055296353897e-05,0.0,0.0,0.0,1.041938004688721e-05,0.0
snow,0.0004608029491388745,0.0005948099374757926,6.237135907191417e-05,1.7617109736976553e-05,0.0,0.0
banished,0.0001440009216058983,1.3832789243623083e-05,0.0,8.808554868488276e-06,9.377442042198489e-05,0.0
sailing,2.8800184321179656e-05,4.1498367730869255e-05,0.00015592839767978545,3.5234219473953106e-05,2.083876009377442e-05,0.0
calm,0.0005760036864235932,0.0002628229956288386,0.00012474271814382835,0.0003699593044765076,3.125814014066163e-05,0.0
sea,0.0009792062669201082,0.0007193050406684003,0.003399239069419323,0.0004624491305956345,0.00014587132065642093,0.0
may,0.002851218247796786,0.005795938693078072,0.0018399550926214683,0.0022726071560699754,0.008533472258400626,0.0010145417653026716
wafted,0.00011520073728471862,0.0,0.0,8.808554868488276e-06,0.0,0.0
land,0.0005760036864235932,0.0005671443589885465,0.0007796419883989272,0.00016736254250127725,0.0003021620213597291,0.0006763611768684477
surpassing,5.760036864235931e-05,0.0,0.0,8.808554868488276e-06,0.0,0.00016909029421711193
wonders,0.0001440009216058983,1.3832789243623083e-05,0.0,1.7617109736976553e-05,0.0,0.00016909029421711193
every,0.0031392200910085825,0.0011757870857079622,0.0016216553358697687,0.001246410513891091,0.0019275853086741339,0.0038890767669935745
hitherto,0.0003456022118541559,0.00011066231394898467,3.1185679535957086e-05,9.689410355337104e-05,0.00011461318051575932,0.0005072708826513358
discovered,0.0009792062669201082,8.299673546173851e-05,9.355703860787127e-05,0.00028187375579162484,0.0003125814014066163,0.00016909029421711193
habitable,2.8800184321179656e-05,1.3832789243623083e-05,0.0,0.0,1.041938004688721e-05,0.0
globe,5.760036864235931e-05,1.3832789243623083e-05,0.0,3.082994203970897e-05,1.041938004688721e-05,0.00033818058843422386
productions,5.760036864235931e-05,0.0,0.0,4.404277434244138e-06,2.083876009377442e-05,0.00016909029421711193
features,0.0002016012902482576,2.7665578487246167e-05,6.237135907191417e-05,0.00025985236862040414,4.167752018754884e-05,0.0
without,0.0008640055296353896,0.0018674265478891164,0.001060313104222541,0.0021889258848193367,0.0014170356863766607,0.0015218126479540075
example,5.760036864235931e-05,5.5331156974492333e-05,9.355703860787127e-05,0.0001497454327643007,0.0005626465225319093,0.0005072708826513358
phenomena,5.760036864235931e-05,0.0,0.0,4.404277434244138e-06,6.251628028132327e-05,0.0
heavenly,0.00011520073728471862,0.0,0.0,1.3212832302732414e-05,0.00022922636103151864,0.00016909029421711193
bodies,8.640055296353897e-05,0.00011066231394898467,3.1185679535957086e-05,3.5234219473953106e-05,0.00022922636103151864,0.00016909029421711193
undoubtedly,2.8800184321179656e-05,2.7665578487246167e-05,0.0,5.2851329210929655e-05,0.00014587132065642093,0.00033818058843422386
undiscovered,5.760036864235931e-05,1.3832789243623083e-05,0.0,0.0,0.0,0.0
solitudes,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
expected,0.0003456022118541559,0.00047031483428318485,3.1185679535957086e-05,0.00037436358191075174,0.00017712946079708258,0.0
country,0.0015552099533437014,0.0003181541526033309,0.0002806711158236138,0.0003699593044765076,0.00039593644178171397,0.0023672641190395673
eternal,0.0003168020275329762,2.7665578487246167e-05,6.237135907191417e-05,5.725560664517379e-05,0.00014587132065642093,0.0006763611768684477
light,0.0012096077414895455,0.001134288717977093,0.0005301565521112705,0.0009381110934940013,0.0013128418859077885,0.0
discover,0.0004608029491388745,5.5331156974492333e-05,0.0,0.00014093687789581242,0.00015629070070330816,0.0
wondrous,0.0002016012902482576,1.3832789243623083e-05,0.0,4.404277434244138e-06,0.0,0.0
power,0.0011232071885260066,0.0006363083052066618,0.00018711407721574253,0.00043602346599016964,0.0016254232873144049,0.002029083530605343
attracts,2.8800184321179656e-05,0.0,0.0,4.404277434244138e-06,1.041938004688721e-05,0.0
needle,2.8800184321179656e-05,0.0,0.0,1.7617109736976553e-05,0.0,0.0
regulate,5.760036864235931e-05,2.7665578487246167e-05,0.0,8.808554868488276e-06,5.209690023443605e-05,0.0
thousand,0.0007776049766718507,0.00013832789243623084,0.00037422815443148507,0.0009028768740200482,0.00028132326126595466,0.0
celestial,0.0001440009216058983,0.0,0.0,2.6425664605464827e-05,0.0,0.0
observations,2.8800184321179656e-05,0.0,0.0,2.6425664605464827e-05,0.0,0.0
require,2.8800184321179656e-05,4.1498367730869255e-05,6.237135907191417e-05,0.00025985236862040414,0.0003230007814535035,0.00016909029421711193
voyage,0.0004320027648176948,5.5331156974492333e-05,0.0002806711158236138,6.606416151366207e-05,6.251628028132327e-05,0.0
render,0.0002880018432117966,1.3832789243623083e-05,0.0,0.00018057537480400964,7.293566032821047e-05,0.0
seeming,5.760036864235931e-05,9.682952470536159e-05,0.0,3.5234219473953106e-05,0.00014587132065642093,0.0
eccentricities,2.8800184321179656e-05,1.3832789243623083e-05,0.0,8.808554868488276e-06,0.0,0.0
consistent,2.8800184321179656e-05,0.0,0.0,8.808554868488276e-06,0.00012503256056264653,0.0
shall,0.0030240193537238638,0.005906601007027057,0.0006860849497910559,0.0026733964025861916,0.0027507163323782233,0.00016909029421711193
satiate,2.8800184321179656e-05,1.3832789243623083e-05,0.0,0.0,0.0,0.0
ardent,0.0002880018432117966,0.0,0.0,3.963849690819724e-05,0.0,0.0
curiosity,0.0004032025804965152,6.916394621811542e-05,0.00012474271814382835,0.00023783098144918344,3.125814014066163e-05,0.0
sight,0.0007200046080294913,0.0005256459912576772,0.0007796419883989272,0.0005505346792805172,0.0009690023443605105,0.00033818058843422386
part,0.0011232071885260066,0.000816134565373762,0.0010914987837584982,0.0006826630023078413,0.0016775201875488409,0.0015218126479540075
world,0.0012960082944530845,0.0008576329331046312,0.0004989708725753134,0.0009425153709282455,0.002573586871581141,0.002029083530605343
never,0.001987212718161396,0.0017705970231837547,0.0025884114014844382,0.0019378820710674208,0.0019484240687679083,0.0005072708826513358
