,0
recording,0.17609125905568124
probable,0.0
papers,0.0791812460476248
possession,0.0
monday,0.30102999566398114
nearly,-0.06694678963061322
surrounded,0.0
closed,-0.06694678963061322
sides,-0.06694678963061322
leaving,0.0
room,0.0
floated,0.17609125905568124
situation,-0.06694678963061322
somewhat,0.0
especially,-0.06694678963061322
compassed,0.47712125471966244
round,0.0
thick,0.0
fog,0.0791812460476248
accordingly,0.0
lay,0.0
hoping,0.0791812460476248
change,-0.06694678963061322
take,-0.06694678963061322
place,-0.06694678963061322
atmosphere,-0.06694678963061322
o,0.0
clock,0.0791812460476248
cleared,0.0
away,-0.06694678963061322
beheld,0.0791812460476248
stretched,0.0791812460476248
direction,-0.06694678963061322
vast,0.0
irregular,0.17609125905568124
plains,0.30102999566398114
seemed,-0.06694678963061322
end,-0.06694678963061322
comrades,0.0791812460476248
groaned,0.0791812460476248
grow,0.0
watchful,0.30102999566398114
anxious,0.0
suddenly,-0.06694678963061322
attracted,0.0
attention,-0.06694678963061322
diverted,0.17609125905568124
solicitude,0.17609125905568124
low,-0.06694678963061322
carriage,0.17609125905568124
sledge,0.0791812460476248
drawn,-0.06694678963061322
dogs,-0.06694678963061322
distance,0.0
mile,0.0791812460476248
shape,-0.06694678963061322
gigantic,0.0791812460476248
stature,0.0791812460476248
sat,0.0
guided,0.0
watched,0.0
rapid,-0.06694678963061322
progress,-0.06694678963061322
traveller,0.0
telescopes,0.47712125471966244
lost,-0.06694678963061322
distant,-0.06694678963061322
inequalities,0.0791812460476248
appearance,0.0
excited,0.0
unqualified,0.47712125471966244
wonder,-0.06694678963061322
hundred,-0.06694678963061322
miles,0.0
apparition,0.0791812460476248
denote,0.30102999566398114
supposed,0.0
shut,0.0
follow,0.0
track,0.0
observed,0.0791812460476248
occurrence,0.0791812460476248
ground,-0.06694678963061322
broke,0.0
freed,0.17609125905568124
morning,0.0
fearing,0.0791812460476248
dark,0.0
large,-0.06694678963061322
loose,0.0
masses,-0.06694678963061322
float,0.0791812460476248
breaking,0.0
profited,0.17609125905568124
rest,-0.06694678963061322
went,-0.06694678963061322
busy,0.0
side,-0.06694678963061322
talking,0.0
someone,0.0791812460476248
fact,-0.06694678963061322
seen,-0.06694678963061322
drifted,0.30102999566398114
fragment,0.17609125905568124
dog,0.0
remained,-0.06694678963061322
alive,0.0
within,-0.06694678963061322
persuading,0.17609125905568124
enter,0.0
savage,0.0791812460476248
inhabitant,0.17609125905568124
island,0.0791812460476248
european,0.0
appeared,-0.06694678963061322
said,-0.06694678963061322
perish,0.0
open,-0.06694678963061322
perceiving,0.17609125905568124
stranger,0.0
addressed,0.0
foreign,-0.06694678963061322
accent,0.0791812460476248
inform,0.0791812460476248
whither,0.0
astonishment,0.0
hearing,0.0
brink,0.17609125905568124
destruction,0.0
resource,0.17609125905568124
exchanged,0.0
precious,0.0
earth,0.0791812460476248
afford,0.0
replied,0.0
satisfied,0.0
god,0.0
capitulated,0.47712125471966244
surprise,0.0
boundless,0.17609125905568124
limbs,0.0
frozen,0.0791812460476248
emaciated,0.0791812460476248
fatigue,0.17609125905568124
suffering,0.0
wretched,0.0
condition,-0.06694678963061322
attempted,0.0791812460476248
carry,-0.06694678963061322
cabin,0.0791812460476248
fresh,-0.06694678963061322
air,-0.06694678963061322
fainted,0.17609125905568124
brought,0.0
restored,0.0
animation,0.0791812460476248
rubbing,0.0791812460476248
brandy,0.0791812460476248
forcing,0.0791812460476248
swallow,0.0791812460476248
small,-0.06694678963061322
quantity,0.0791812460476248
showed,0.0
signs,0.0
blankets,0.47712125471966244
chimney,0.0791812460476248
kitchen,0.0791812460476248
stove,0.17609125905568124
slow,0.0
degrees,-0.06694678963061322
recovered,0.0
ate,0.0
soup,0.17609125905568124
wonderfully,-0.06694678963061322
days,0.0
speak,-0.06694678963061322
feared,0.0
sufferings,0.0791812460476248
deprived,0.17609125905568124
understanding,0.0
measure,0.0791812460476248
removed,0.0
attended,0.0791812460476248
duty,0.0
interesting,0.0
creature,0.0
generally,-0.06694678963061322
expression,-0.06694678963061322
wildness,0.30102999566398114
madness,0.0791812460476248
moments,0.0
